ins,model,time,groundsize
instrect4000_41_2,0,10.094,42529
instrect4535_65_2,0,87.410,48177
instrect4708_39_1,0,47.948,50085
instrect4708_39_2,0,46.658,50085
instrect4781_68_0,0,105.544,50795
instrect4892_46_2,0,51.300,52055
instrectL1412_10_16,1+,10.590,1891
instrectL1412_10_35,1+,21.075,1891
instrectL1412_12_11,1+,76.689,1887
instrectL1412_12_15,1+,75.188,1887
instrectL1412_12_16,1+,125.325,1887
instrectL1412_12_24,1+,161.394,1887
instrectL1412_12_8,1+,147.250,1887
instrectL1412_14_1,0+,199.995,1883
instrectL1412_14_10,1+,114.689,1883
instrectL1412_14_27,0+,199.995,1883
instrectL1412_14_28,1+,4.390,1883
instrectL1412_14_3,1+,1.771,1883
instrectL1412_14_32,0+,199.996,1883
instrectL1412_14_8,1+,47.352,1883
instrectL1412_16_19,1+,24.377,1879
instrectL1412_16_20,1+,126.929,1879
instrectL1412_16_27,1+,78.610,1879
instrectL1412_16_30,0+,199.996,1880
instrectL1412_16_32,1+,177.914,1879
instrectL1412_16_35,0+,199.996,1879
instrectL1412_16_38,1+,73.708,1879
instrectL1412_16_5,1+,11.027,1879
instrectL1412_18_33,1+,1.730,1875
instrectL1412_18_37,1+,22.639,1875
instrectL1412_2_0,1+,6.040,1907
instrectL1412_20_19,0+,199.995,1872
instrectL1412_20_23,1+,18.417,1871
instrectL1412_20_26,1+,175.248,1871
instrectL1412_20_27,1+,73.678,1871
instrectL1412_20_30,1+,44.210,1871
instrectL1412_20_35,1+,4.200,1871
instrectL1412_20_5,1+,10.427,1871
instrectL1412_2_12,1+,44.570,1907
instrectL1412_2_13,1+,81.009,1907
instrectL1412_2_17,1+,164.498,1907
instrectL1412_22_12,1+,76.105,1867
instrectL1412_22_24,1+,9.173,1867
instrectL1412_22_29,1+,7.536,1867
instrectL1412_22_30,1+,0.658,1867
instrectL1412_2_25,1+,2.236,1907
instrectL1412_22_5,0+,199.995,1867
instrectL1412_2_37,1+,52.576,1907
instrectL1412_24_11,1+,1.181,1863
instrectL1412_24_37,1+,0.188,1863
instrectL1412_26_6,1+,71.468,1859
instrectL1412_28_19,0+,199.996,1855
instrectL1412_28_25,1+,12.856,1856
instrectL1412_28_27,1+,28.691,1855
