instance_id,num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam
instrect4000_41_2,3996.0,13273.0,0.3011,13232.0,0.9969,2.0,4.0,3.3216,2.0,4.0,3.3216,2659.0,0.6654,1337.0,0.3346,2657.0,0.6649,1339.0,0.3351,80.0,0.02,3916.0,0.98,26.0,0.0065,27.0,0.0068,0.0,0.0,1.0,5.0,842.2222,2.0,2.0,17.0,2.0,1337.0,811.4568,2.0,1337.0,770.2383
instrect4535_65_2,4530.0,15029.0,0.3014,14964.0,0.9957,2.0,4.0,3.3177,2.0,4.0,3.3177,3011.0,0.6647,1519.0,0.3353,3013.0,0.6651,1517.0,0.3349,128.0,0.0283,4402.0,0.9717,40.0,0.0088,39.0,0.0086,0.0,0.0,2.0,7.0,879.48,2.0,2.0,11.0,2.0,1516.0,700.8669,2.0,1521.0,638.8083
instrect4708_39_1,4704.0,15635.0,0.3009,15596.0,0.9975,2.0,4.0,3.3238,2.0,4.0,3.3238,3133.0,0.666,1571.0,0.334,3131.0,0.6656,1573.0,0.3344,78.0,0.0166,4626.0,0.9834,24.0,0.0051,25.0,0.0053,0.0,0.0,3.0,12.0,790.5294,2.0,2.0,21.0,2.0,1571.0,505.5394,2.0,1575.0,883.1529
instrect4708_39_2,4704.0,15635.0,0.3009,15596.0,0.9975,2.0,4.0,3.3238,2.0,4.0,3.3238,3121.0,0.6635,1583.0,0.3365,3127.0,0.6648,1577.0,0.3352,74.0,0.0157,4630.0,0.9843,30.0,0.0064,27.0,0.0057,0.0,0.0,2.0,7.0,1047.8571,2.0,2.0,21.0,2.0,1571.0,991.1489,2.0,1739.0,883.1044
instrect4781_68_0,4776.0,15846.0,0.3014,15778.0,0.9957,2.0,4.0,3.3178,2.0,4.0,3.3178,3172.0,0.6642,1604.0,0.3358,3166.0,0.6629,1610.0,0.3371,132.0,0.0276,4644.0,0.9724,43.0,0.009,46.0,0.0096,0.0,0.0,4.0,15.0,999.5909,2.0,2.0,23.0,2.0,1595.0,809.9672,2.0,1608.0,535.1716
instrect4892_46_2,4890.0,16248.0,0.301,16202.0,0.9972,1.0,4.0,3.3227,2.0,4.0,3.3227,3246.0,0.6638,1644.0,0.3362,3258.0,0.6663,1632.0,0.3337,88.0,0.018,4802.0,0.982,33.0,0.0067,27.0,0.0055,0.0,0.0,1.0,5.0,982.7647,2.0,2.0,23.0,2.0,1635.0,721.3895,2.0,1635.0,674.7719
instrectL1412_10_16,168.0,610.0,0.2754,600.0,0.9836,2.0,4.0,3.631,2.0,4.0,3.631,46.0,0.2738,122.0,0.7262,42.0,0.25,126.0,0.75,20.0,0.119,148.0,0.881,8.0,0.0476,10.0,0.0595,0.0,0.0,1.0,5.0,94.0,2.0,2.0,13.0,11.0,24.0,17.7857,11.0,24.0,17.7857
instrectL1412_10_35,168.0,610.0,0.2754,600.0,0.9836,2.0,4.0,3.631,1.0,4.0,3.631,44.0,0.2619,124.0,0.7381,48.0,0.2857,120.0,0.7143,20.0,0.119,148.0,0.881,9.0,0.0536,7.0,0.0417,0.0,0.0,2.0,8.0,67.8571,2.0,2.0,13.0,11.0,24.0,17.6429,11.0,24.0,17.6429
instrectL1412_12_11,168.0,608.0,0.2763,596.0,0.9803,1.0,4.0,3.619,2.0,4.0,3.619,54.0,0.3214,114.0,0.6786,52.0,0.3095,116.0,0.6905,22.0,0.131,146.0,0.869,5.0,0.0298,6.0,0.0357,0.0,0.0,2.0,8.0,82.5,2.0,2.0,3.0,5.0,24.0,16.875,5.0,24.0,16.875
instrectL1412_12_15,168.0,608.0,0.2763,596.0,0.9803,1.0,4.0,3.619,2.0,4.0,3.619,52.0,0.3095,116.0,0.6905,44.0,0.2619,124.0,0.7381,22.0,0.131,146.0,0.869,6.0,0.0357,10.0,0.0595,0.0,0.0,1.0,5.0,83.6364,2.0,2.0,13.0,8.0,24.0,16.75,8.0,24.0,16.75
