ins,model,time,groundsize
instrect4000_41_2,0,38.500,58513
instrect4535_65_2,0+,199.890,66297
instrect4708_39_1,0,131.013,68901
instrect4708_39_2,0,121.019,68901
instrect4781_68_0,0,175.800,69899
instrect4892_46_2,0+,199.802,71614
instrectL1412_10_16,0+,199.991,2563
instrectL1412_10_35,0+,199.953,2562
instrectL1412_12_11,0+,199.993,2558
instrectL1412_12_15,0+,199.990,2558
instrectL1412_12_16,0+,199.990,2557
instrectL1412_12_24,1+,157.980,2558
instrectL1412_12_8,0+,199.994,2559
instrectL1412_14_1,0+,199.991,2554
instrectL1412_14_10,1+,195.373,2554
instrectL1412_14_27,1+,162.496,2554
instrectL1412_14_28,0+,199.942,2555
instrectL1412_14_3,1+,167.092,2554
instrectL1412_14_32,1+,165.221,2554
instrectL1412_14_8,1+,183.719,2555
instrectL1412_16_19,1+,174.157,2551
instrectL1412_16_20,0+,199.990,2551
instrectL1412_16_27,1+,185.108,2550
instrectL1412_16_30,0+,199.989,2551
instrectL1412_16_32,0+,199.992,2550
instrectL1412_16_35,1+,198.051,2550
instrectL1412_16_38,0+,199.933,2550
instrectL1412_16_5,0+,199.989,2549
instrectL1412_18_33,1+,165.044,2546
instrectL1412_18_37,1+,153.821,2546
instrectL1412_2_0,0+,199.989,2579
instrectL1412_20_19,1+,184.924,2543
instrectL1412_20_23,0+,199.990,2541
instrectL1412_20_26,0+,199.991,2541
instrectL1412_20_27,1+,163.370,2543
instrectL1412_20_30,0+,199.991,2543
instrectL1412_20_35,1+,160.033,2543
instrectL1412_20_5,0+,199.991,2542
instrectL1412_2_12,0+,199.991,2579
instrectL1412_2_13,0+,199.990,2579
instrectL1412_2_17,0+,199.994,2579
instrectL1412_22_12,1+,195.415,2539
instrectL1412_22_24,0+,199.987,2538
instrectL1412_22_29,1+,162.771,2538
instrectL1412_22_30,1+,145.649,2539
instrectL1412_2_25,0+,199.980,2579
instrectL1412_22_5,1+,195.255,2539
instrectL1412_2_37,0+,199.991,2579
instrectL1412_24_11,1+,173.813,2533
instrectL1412_24_37,0+,199.991,2535
instrectL1412_26_6,1+,185.850,2530
instrectL1412_28_19,0+,199.990,2523
instrectL1412_28_25,0+,199.988,2527
instrectL1412_28_27,0+,199.991,2525
instrectL1412_28_30,0+,199.994,2524
instrectL1412_28_31,1+,192.623,2525
instrectL1412_30_13,0+,199.990,2521
instrectL1412_30_16,0+,199.991,2522
instrectL1412_30_3,1+,179.613,2522
instrectL1412_30_30,1+,155.650,2522
instrectL1412_32_15,0+,199.991,2516
instrectL1412_32_25,0+,199.991,2519
instrectL1412_32_3,0+,199.990,2518
instrectL1412_32_30,0+,199.992,2519
instrectL1412_34_26,0+,199.974,2514
instrectL1412_36_16,1+,188.904,2510
instrectL1412_36_23,1+,196.084,2509
instrectL1412_38_13,1+,186.270,2505
instrectL1412_38_36,0+,199.991,2505
instrectL1412_4_12,1+,194.607,2575
instrectL1412_4_19,1+,162.253,2575
instrectL1412_42_30,0+,199.992,2498
instrectL1412_48_24,0+,199.992,2482
instrectL1412_4_9,0+,199.970,2575
instrectL1412_52_32,0+,199.992,2475
instrectL1412_58_12,0+,199.991,2463
instrectL1412_58_20,0+,199.994,2463
instrectL1412_58_36,0+,199.990,2464
instrectL1412_6_11,0+,199.990,2571
instrectL1412_6_17,1+,148.482,2571
instrectL1412_6_18,1+,170.622,2571
instrectL1412_6_23,0+,199.993,2571
instrectL1412_62_30,0+,199.994,2457
instrectL1412_6_32,0+,199.974,2571
instrectL1412_6_35,1+,152.486,2571
instrectL1412_6_36,1+,198.984,2571
instrectL1412_6_4,0+,199.993,2571
instrectL1412_64_33,0,166.899,2449
instrectL1412_6_5,1+,192.030,2571
instrectL1412_6_6,0+,199.994,2571
instrectL1412_66_22,0+,199.990,2446
instrectL1412_66_9,0+,199.989,2448
instrectL1412_68_15,0,180.556,2443
instrectL1412_68_27,0+,199.991,2444
instrectL1412_72_8,0+,199.993,2431
instrectL1412_8_0,1+,180.752,2567
instrectL1412_8_19,1+,191.511,2567
instrectL1412_8_21,0+,199.993,2567
instrectL1412_8_23,0+,199.992,2567
instrectL1412_8_37,0+,199.994,2566
instrectL1412_8_6,0+,199.990,2567
instrectL4_0_0,1+,134.818,2959
instrectL4_0_4,1+,101.251,2959
instrectL4_0_5,1+,135.190,2959
instrectL4_0_7,1+,125.937,2959
instrectL4_0_9,1+,112.284,2959
instrectL4_1_0,1+,29.406,2701
instrectL4_10_8,1+,121.876,2939
instrectL4_11_0,0+,199.994,2680
instrectL4_1_11,0+,199.989,2701
instrectL4_11_1,1+,82.243,2681
instrectL4_11_10,1+,53.852,2681
instrectL4_11_16,1+,37.398,2680
instrectL4_11_18,1+,152.881,2681
instrectL4_11_2,1+,3.809,2681
instrectL4_1_15,0+,199.989,2701
instrectL4_11_5,0+,199.994,2681
instrectL4_1_16,1+,93.557,2701
instrectL4_1_17,1+,89.058,2701
instrectL4_1_19,1+,107.992,2701
instrectL4_11_9,1+,181.907,2680
instrectL4_1_2,0+,199.989,2701
instrectL4_12_6,1+,97.865,2934
instrectL4_1_3,1+,143.969,2701
instrectL4_1_4,1+,95.401,2701
instrectL4_14_5,1+,178.357,2931
instrectL4_14_8,1+,142.714,2931
instrectL4_14_9,1+,186.674,2930
instrectL4_1_6,1+,75.221,2701
instrectL4_16_1,0+,199.991,2927
instrectL4_16_4,1+,168.884,2927
instrectL4_16_6,1+,152.303,2927
instrectL4_16_8,1+,183.977,2927
instrectL4_1_7,1+,96.790,2701
instrectL4_1_8,1+,79.798,2701
instrectL4_18_4,1+,170.528,2923
instrectL4_18_8,1+,116.314,2923
instrectL4_20_4,0+,199.993,2919
instrectL4_20_5,1+,162.589,2919
instrectL4_20_6,1+,150.639,2919
instrectL4_2_1,1+,191.454,2955
instrectL4_21_10,1+,86.499,2659
instrectL4_21_11,1+,98.285,2661
instrectL4_21_18,1+,102.585,2660
instrectL4_21_2,1+,135.101,2661
instrectL4_21_5,0+,199.990,2660
instrectL4_21_7,1+,103.158,2661
instrectL4_21_8,1+,101.080,2660
instrectL4_2_2,1+,79.723,2955
instrectL4_22_0,0+,199.993,2915
instrectL4_2_3,0+,199.990,2955
instrectL4_24_7,0+,199.992,2910
instrectL4_24_8,1+,126.688,2910
instrectL4_26_2,0+,199.992,2906
instrectL4_26_3,0+,199.968,2904
instrectL4_26_5,0+,199.989,2905
instrectL4_2_8,0+,199.981,2955
instrectL4_28_7,0+,199.986,2903
instrectL4_28_9,1+,169.038,2903
instrectL4_30_0,1+,131.050,2897
instrectL4_30_2,0+,199.994,2899
instrectL4_31_0,0+,199.994,2639
instrectL4_31_16,1+,85.453,2641
instrectL4_31_7,1+,66.899,2640
instrectL4_31_8,0+,199.989,2639
instrectL4_32_3,1+,162.847,2895
instrectL4_32_4,0+,199.985,2894
instrectL4_32_7,0+,199.990,2894
