ins,model,time,groundsize
instrect4000_41_2,0,16.893,58517
instrect4535_65_2,0,67.625,66301
instrect4708_39_1,0,45.871,68905
instrect4708_39_2,0,27.857,68905
instrect4781_68_0,0,48.067,69903
instrect4892_46_2,0,46.071,71618
instrectL1412_10_16,1+,4.140,2567
instrectL1412_10_35,1+,138.026,2566
instrectL1412_12_11,1+,6.612,2562
instrectL1412_12_15,0+,199.988,2562
instrectL1412_12_16,1+,166.668,2561
instrectL1412_12_24,0+,199.990,2562
instrectL1412_12_8,1+,57.428,2563
instrectL1412_14_1,1+,178.056,2558
instrectL1412_14_10,1+,3.667,2557
instrectL1412_14_27,1+,156.184,2558
instrectL1412_14_28,1+,18.728,2559
instrectL1412_14_3,1+,75.472,2558
instrectL1412_14_32,0+,199.995,2558
instrectL1412_14_8,1+,49.328,2559
instrectL1412_16_19,1+,19.525,2555
instrectL1412_16_20,0+,199.991,2555
instrectL1412_16_27,1+,124.609,2554
instrectL1412_16_30,0+,199.990,2554
instrectL1412_16_32,1+,112.555,2554
instrectL1412_16_35,1+,16.395,2553
instrectL1412_16_38,1+,63.393,2554
instrectL1412_16_5,1+,81.246,2553
instrectL1412_18_33,1+,0.283,2550
instrectL1412_18_37,1+,49.229,2550
instrectL1412_2_0,1+,23.388,2583
instrectL1412_20_19,1+,70.901,2546
instrectL1412_20_23,1+,1.708,2545
instrectL1412_20_26,0+,199.989,2545
instrectL1412_20_27,1+,20.550,2547
instrectL1412_20_30,1+,39.183,2547
instrectL1412_20_35,1+,6.178,2547
instrectL1412_20_5,1+,11.417,2546
instrectL1412_2_12,1+,79.193,2583
instrectL1412_2_13,1+,24.260,2583
instrectL1412_2_17,1+,10.595,2583
instrectL1412_22_12,1+,4.310,2543
instrectL1412_22_24,1+,0.945,2542
instrectL1412_22_29,1+,66.896,2542
instrectL1412_22_30,1+,15.732,2543
instrectL1412_2_25,1+,194.719,2583
instrectL1412_22_5,1+,3.455,2543
instrectL1412_2_37,1+,46.916,2583
instrectL1412_24_11,1+,25.658,2536
instrectL1412_24_37,1+,1.903,2539
instrectL1412_26_6,1+,28.446,2534
instrectL1412_28_19,1+,5.983,2526
instrectL1412_28_25,1+,2.572,2530
instrectL1412_28_27,1+,18.993,2528
instrectL1412_28_30,1+,10.736,2528
instrectL1412_28_31,1+,176.743,2529
instrectL1412_30_13,1+,102.270,2525
instrectL1412_30_16,1+,194.735,2526
instrectL1412_30_3,1+,19.051,2526
instrectL1412_30_30,1+,47.717,2526
instrectL1412_32_15,1+,58.125,2520
instrectL1412_32_25,1+,125.822,2523
instrectL1412_32_3,1+,1.958,2522
instrectL1412_32_30,1+,32.387,2523
instrectL1412_34_26,1+,197.502,2518
instrectL1412_36_16,1+,10.864,2514
instrectL1412_36_23,1+,43.101,2513
instrectL1412_38_13,1+,16.155,2509
instrectL1412_38_36,0+,199.995,2509
instrectL1412_4_12,1+,22.355,2579
instrectL1412_4_19,1+,44.605,2579
instrectL1412_42_30,1+,6.824,2502
instrectL1412_48_24,0,179.785,2485
instrectL1412_4_9,1+,73.871,2579
instrectL1412_52_32,0+,199.986,2479
instrectL1412_58_12,0+,199.995,2466
instrectL1412_58_20,0,136.307,2467
instrectL1412_58_36,0,144.486,2468
instrectL1412_6_11,0+,199.994,2575
instrectL1412_6_17,1+,113.332,2575
instrectL1412_6_18,1+,23.833,2575
instrectL1412_6_23,0+,199.990,2575
instrectL1412_62_30,0,106.256,2461
instrectL1412_6_32,1+,27.932,2575
instrectL1412_6_35,1+,6.828,2575
instrectL1412_6_36,1+,0.666,2575
instrectL1412_6_4,1+,9.835,2575
instrectL1412_64_33,0,191.077,2453
instrectL1412_6_5,1+,23.067,2575
instrectL1412_6_6,1+,9.531,2575
instrectL1412_66_22,0,151.885,2450
instrectL1412_66_9,0+,199.945,2452
instrectL1412_68_15,0+,199.991,2446
instrectL1412_68_27,0+,199.991,2448
instrectL1412_72_8,0,94.215,2435
instrectL1412_8_0,1+,66.767,2571
instrectL1412_8_19,1+,13.698,2571
instrectL1412_8_21,1+,28.237,2571
instrectL1412_8_23,1+,146.541,2571
instrectL1412_8_37,0+,199.990,2570
instrectL1412_8_6,1+,21.355,2571
instrectL4_0_0,1+,2.497,2963
instrectL4_0_4,1+,2.552,2963
instrectL4_0_5,1+,2.509,2963
instrectL4_0_7,1+,2.501,2963
instrectL4_0_9,1+,2.588,2963
instrectL4_1_0,1+,27.400,2705
instrectL4_10_8,1+,31.443,2943
instrectL4_11_0,0+,199.989,2683
instrectL4_1_11,1+,133.772,2705
instrectL4_11_1,1+,139.324,2685
instrectL4_11_10,1+,30.470,2685
instrectL4_11_16,0+,199.994,2684
instrectL4_11_18,1+,4.067,2685
instrectL4_11_2,1+,70.470,2685
instrectL4_1_15,1+,78.694,2705
instrectL4_11_5,1+,52.318,2685
instrectL4_1_16,1+,5.856,2705
instrectL4_1_17,1+,16.879,2705
instrectL4_1_19,1+,17.433,2705
instrectL4_11_9,0+,199.993,2684
instrectL4_1_2,1+,7.284,2705
