algorithm,instance_id,runtime
ham10,instrect4000_41_2,38.500
ham10,instrect4535_65_2,199.890
ham10,instrect4708_39_1,131.013
ham10,instrect4708_39_2,121.019
ham10,instrect4781_68_0,175.800
ham10,instrect4892_46_2,199.802
ham10,instrectL1412_10_16,199.991
ham10,instrectL1412_10_35,199.953
ham10,instrectL1412_12_11,199.993
ham10,instrectL1412_12_15,199.990
ham10,instrectL1412_12_16,199.990
ham10,instrectL1412_12_24,157.980
ham10,instrectL1412_12_8,199.994
ham10,instrectL1412_14_1,199.991
ham10,instrectL1412_14_10,195.373
ham10,instrectL1412_14_27,162.496
ham10,instrectL1412_14_28,199.942
ham10,instrectL1412_14_3,167.092
ham10,instrectL1412_14_32,165.221
ham10,instrectL1412_14_8,183.719
ham10,instrectL1412_16_19,174.157
ham10,instrectL1412_16_20,199.990
ham10,instrectL1412_16_27,185.108
ham10,instrectL1412_16_30,199.989
ham10,instrectL1412_16_32,199.992
ham10,instrectL1412_16_35,198.051
ham10,instrectL1412_16_38,199.933
ham10,instrectL1412_16_5,199.989
ham10,instrectL1412_18_33,165.044
ham10,instrectL1412_18_37,153.821
ham10,instrectL1412_2_0,199.989
ham10,instrectL1412_20_19,184.924
ham10,instrectL1412_20_23,199.990
ham10,instrectL1412_20_26,199.991
ham10,instrectL1412_20_27,163.370
ham10,instrectL1412_20_30,199.991
ham10,instrectL1412_20_35,160.033
ham10,instrectL1412_20_5,199.991
ham10,instrectL1412_2_12,199.991
ham10,instrectL1412_2_13,199.990
ham10,instrectL1412_2_17,199.994
ham10,instrectL1412_22_12,195.415
ham10,instrectL1412_22_24,199.987
ham10,instrectL1412_22_29,162.771
ham10,instrectL1412_22_30,145.649
ham10,instrectL1412_2_25,199.980
ham10,instrectL1412_22_5,195.255
ham10,instrectL1412_2_37,199.991
ham10,instrectL1412_24_11,173.813
ham10,instrectL1412_24_37,199.991
ham10,instrectL1412_26_6,185.850
ham10,instrectL1412_28_19,199.990
ham10,instrectL1412_28_25,199.988
ham10,instrectL1412_28_27,199.991
ham10,instrectL1412_28_30,199.994
ham10,instrectL1412_28_31,192.623
ham10,instrectL1412_30_13,199.990
ham10,instrectL1412_30_16,199.991
ham10,instrectL1412_30_3,179.613
ham10,instrectL1412_30_30,155.650
ham10,instrectL1412_32_15,199.991
ham10,instrectL1412_32_25,199.991
ham10,instrectL1412_32_3,199.990
ham10,instrectL1412_32_30,199.992
ham10,instrectL1412_34_26,199.974
ham10,instrectL1412_36_16,188.904
ham10,instrectL1412_36_23,196.084
ham10,instrectL1412_38_13,186.270
ham10,instrectL1412_38_36,199.991
ham10,instrectL1412_4_12,194.607
ham10,instrectL1412_4_19,162.253
ham10,instrectL1412_42_30,199.992
