ins,model,time,groundsize
instrect4000_41_2,0,34.783,42533
instrect4535_65_2,0+,199.952,48181
instrect4708_39_1,0+,199.930,50089
instrect4708_39_2,0,122.516,50089
instrect4781_68_0,0,170.318,50799
instrect4892_46_2,0+,199.922,52059
instrectL1412_10_16,1+,13.045,1895
instrectL1412_10_35,0+,199.993,1895
instrectL1412_12_11,1+,13.359,1891
instrectL1412_12_15,0+,199.991,1891
instrectL1412_12_16,1+,72.279,1891
instrectL1412_12_24,0+,199.994,1891
instrectL1412_12_8,1+,4.685,1891
instrectL1412_14_1,0+,199.994,1887
instrectL1412_14_10,1+,127.446,1886
instrectL1412_14_27,0+,199.993,1887
instrectL1412_14_28,1+,41.060,1887
instrectL1412_14_3,1+,52.878,1887
instrectL1412_14_32,1+,74.850,1887
instrectL1412_14_8,1+,7.545,1887
instrectL1412_16_19,1+,42.180,1883
instrectL1412_16_20,1+,19.300,1883
instrectL1412_16_27,1+,72.480,1883
instrectL1412_16_30,1+,88.569,1883
instrectL1412_16_32,0+,199.990,1883
instrectL1412_16_35,1+,55.284,1882
instrectL1412_16_38,1+,42.159,1883
instrectL1412_16_5,1+,16.459,1883
instrectL1412_18_33,0+,199.946,1879
instrectL1412_18_37,1+,75.241,1879
instrectL1412_2_0,1+,72.417,1911
instrectL1412_20_19,0+,199.996,1875
instrectL1412_20_23,0+,199.994,1875
instrectL1412_20_26,1+,64.010,1875
instrectL1412_20_27,1+,53.061,1875
instrectL1412_20_30,1+,8.217,1875
instrectL1412_20_35,1+,5.182,1875
instrectL1412_20_5,1+,29.663,1875
instrectL1412_2_12,0+,199.994,1911
instrectL1412_2_13,1+,101.118,1911
instrectL1412_2_17,1+,188.288,1911
instrectL1412_22_12,1+,99.680,1871
instrectL1412_22_24,1+,2.008,1871
instrectL1412_22_29,1+,178.387,1871
instrectL1412_22_30,1+,31.833,1871
instrectL1412_2_25,1+,67.076,1911
instrectL1412_22_5,1+,17.813,1871
instrectL1412_2_37,1+,26.358,1911
instrectL1412_24_11,1+,50.558,1866
instrectL1412_24_37,1+,12.760,1867
instrectL1412_26_6,1+,6.764,1863
instrectL1412_28_19,1+,26.145,1858
instrectL1412_28_25,1+,71.433,1859
instrectL1412_28_27,1+,94.592,1858
instrectL1412_28_30,1+,35.568,1859
instrectL1412_28_31,1+,117.573,1859
instrectL1412_30_13,1+,60.137,1855
instrectL1412_30_16,1+,54.480,1855
instrectL1412_30_3,1+,61.707,1855
instrectL1412_30_30,1+,12.960,1855
instrectL1412_32_15,1+,193.336,1851
instrectL1412_32_25,1+,34.722,1851
instrectL1412_32_3,1+,16.970,1851
instrectL1412_32_30,1+,106.687,1851
instrectL1412_34_26,1+,19.868,1847
instrectL1412_36_16,0+,199.995,1843
instrectL1412_36_23,1+,100.828,1843
instrectL1412_38_13,1+,1.053,1839
instrectL1412_38_36,1+,28.618,1839
instrectL1412_4_12,0+,199.993,1907
instrectL1412_4_19,1+,32.284,1907
instrectL1412_42_30,1+,98.036,1831
instrectL1412_48_24,0+,199.993,1819
instrectL1412_4_9,1+,116.648,1907
instrectL1412_52_32,0+,199.993,1811
instrectL1412_58_12,0+,199.993,1798
instrectL1412_58_20,0+,199.996,1799
instrectL1412_58_36,0+,199.994,1799
instrectL1412_6_11,1+,120.177,1903
instrectL1412_6_17,1+,5.624,1903
instrectL1412_6_18,1+,91.078,1903
instrectL1412_6_23,0+,199.996,1903
instrectL1412_62_30,0,122.695,1791
instrectL1412_6_32,1+,0.851,1903
instrectL1412_6_35,1+,18.424,1903
instrectL1412_6_36,1+,32.172,1903
instrectL1412_6_4,1+,77.569,1903
instrectL1412_64_33,0,96.375,1787
instrectL1412_6_5,1+,27.345,1903
instrectL1412_6_6,1+,122.306,1903
instrectL1412_66_22,0+,199.990,1783
instrectL1412_66_9,0+,199.991,1783
instrectL1412_68_15,0+,199.993,1779
instrectL1412_68_27,0+,199.996,1779
