algorithm,instance_id,runtime
ham4,instrect4000_41_2,61.901
ham4,instrect4535_65_2,62.617
ham4,instrect4708_39_1,70.733
ham4,instrect4708_39_2,69.984
ham4,instrect4781_68_0,39.582
ham4,instrect4892_46_2,85.876
ham4,instrectL1412_10_16,5.902
ham4,instrectL1412_10_35,5.759
ham4,instrectL1412_12_11,2.254
ham4,instrectL1412_12_15,13.641
ham4,instrectL1412_12_16,3.099
ham4,instrectL1412_12_24,14.769
ham4,instrectL1412_12_8,16.892
ham4,instrectL1412_14_1,21.241
ham4,instrectL1412_14_10,1.051
ham4,instrectL1412_14_27,52.064
ham4,instrectL1412_14_28,51.473
ham4,instrectL1412_14_3,6.234
ham4,instrectL1412_14_32,0.868
ham4,instrectL1412_14_8,5.742
ham4,instrectL1412_16_19,2.356
ham4,instrectL1412_16_20,6.432
ham4,instrectL1412_16_27,5.929
ham4,instrectL1412_16_30,50.379
ham4,instrectL1412_16_32,23.564
ham4,instrectL1412_16_35,2.341
ham4,instrectL1412_16_38,22.816
ham4,instrectL1412_16_5,16.023
ham4,instrectL1412_18_33,13.183
ham4,instrectL1412_18_37,3.078
ham4,instrectL1412_2_0,3.097
ham4,instrectL1412_20_19,34.749
ham4,instrectL1412_20_23,1.039
ham4,instrectL1412_20_26,27.101
ham4,instrectL1412_20_27,42.005
ham4,instrectL1412_20_30,26.736
ham4,instrectL1412_20_35,5.562
ham4,instrectL1412_20_5,67.376
ham4,instrectL1412_2_12,6.445
ham4,instrectL1412_2_13,13.286
ham4,instrectL1412_2_17,6.552
ham4,instrectL1412_22_12,10.258
ham4,instrectL1412_22_24,28.730
ham4,instrectL1412_22_29,8.358
ham4,instrectL1412_22_30,0.496
ham4,instrectL1412_2_25,4.179
ham4,instrectL1412_22_5,71.913
ham4,instrectL1412_2_37,21.493
ham4,instrectL1412_24_11,8.707
ham4,instrectL1412_24_37,7.745
ham4,instrectL1412_26_6,3.034
ham4,instrectL1412_28_19,94.747
ham4,instrectL1412_28_25,9.315
ham4,instrectL1412_28_27,9.928
ham4,instrectL1412_28_30,5.214
ham4,instrectL1412_28_31,0.422
ham4,instrectL1412_30_13,118.887
ham4,instrectL1412_30_16,1.328
ham4,instrectL1412_30_3,4.177
ham4,instrectL1412_30_30,2.908
ham4,instrectL1412_32_15,7.177
ham4,instrectL1412_32_25,41.704
ham4,instrectL1412_32_3,1.811
ham4,instrectL1412_32_30,5.360
ham4,instrectL1412_34_26,6.211
ham4,instrectL1412_36_16,3.884
ham4,instrectL1412_36_23,2.448
ham4,instrectL1412_38_13,17.598
ham4,instrectL1412_38_36,14.053
ham4,instrectL1412_4_12,22.440
ham4,instrectL1412_4_19,8.731
ham4,instrectL1412_42_30,3.094
ham4,instrectL1412_48_24,199.993
ham4,instrectL1412_4_9,1.928
ham4,instrectL1412_52_32,199.993
ham4,instrectL1412_58_12,199.996
ham4,instrectL1412_58_20,199.995
ham4,instrectL1412_58_36,199.995
ham4,instrectL1412_6_11,3.237
ham4,instrectL1412_6_17,10.837
ham4,instrectL1412_6_18,17.707
ham4,instrectL1412_6_23,2.472
ham4,instrectL1412_62_30,199.995
ham4,instrectL1412_6_32,7.604
ham4,instrectL1412_6_35,5.773
ham4,instrectL1412_6_36,13.542
ham4,instrectL1412_6_4,7.831
ham4,instrectL1412_64_33,199.995
ham4,instrectL1412_6_5,5.837
ham4,instrectL1412_6_6,12.772
ham4,instrectL1412_66_22,175.852
ham4,instrectL1412_66_9,199.996
ham4,instrectL1412_68_15,199.996
ham4,instrectL1412_68_27,192.916
ham4,instrectL1412_72_8,199.996
ham4,instrectL1412_8_0,2.772
ham4,instrectL1412_8_19,8.455
ham4,instrectL1412_8_21,5.916
ham4,instrectL1412_8_23,15.716
ham4,instrectL1412_8_37,2.922
ham4,instrectL1412_8_6,5.056
ham4,instrectL4_0_0,20.061
ham4,instrectL4_0_4,20.119
ham4,instrectL4_0_5,20.108
ham4,instrectL4_0_7,20.081
ham4,instrectL4_0_9,20.100
ham4,instrectL4_1_0,11.381
ham4,instrectL4_10_8,87.640
ham4,instrectL4_11_0,199.996
ham4,instrectL4_1_11,15.580
ham4,instrectL4_11_1,20.191
ham4,instrectL4_11_10,14.929
ham4,instrectL4_11_16,9.854
ham4,instrectL4_11_18,6.522
ham4,instrectL4_11_2,30.430
ham4,instrectL4_1_15,32.872
ham4,instrectL4_11_5,3.350
ham4,instrectL4_1_16,3.148
ham4,instrectL4_1_17,1.233
ham4,instrectL4_1_19,1.406
ham4,instrectL4_11_9,5.007
ham4,instrectL4_1_2,7.619
ham4,instrectL4_12_6,12.802
ham4,instrectL4_1_3,33.598
ham4,instrectL4_1_4,12.061
ham4,instrectL4_14_5,37.229
ham4,instrectL4_14_8,8.759
ham4,instrectL4_14_9,56.392
ham4,instrectL4_1_6,22.165
ham4,instrectL4_16_1,25.315
ham4,instrectL4_16_4,85.333
ham4,instrectL4_16_6,30.866
ham4,instrectL4_16_8,199.995
ham4,instrectL4_1_7,11.074
ham4,instrectL4_1_8,16.779
ham4,instrectL4_18_4,123.246
ham4,instrectL4_18_8,2.818
ham4,instrectL4_20_4,8.603
ham4,instrectL4_20_5,19.357
ham4,instrectL4_20_6,15.768
ham4,instrectL4_2_1,4.754
ham4,instrectL4_21_10,17.849
ham4,instrectL4_21_11,97.426
ham4,instrectL4_21_18,1.290
ham4,instrectL4_21_2,18.302
ham4,instrectL4_21_5,2.270
ham4,instrectL4_21_7,36.463
ham4,instrectL4_21_8,3.655
ham4,instrectL4_2_2,33.077
ham4,instrectL4_22_0,3.149
ham4,instrectL4_2_3,37.798
ham4,instrectL4_24_7,61.439
ham4,instrectL4_24_8,14.790
ham4,instrectL4_26_2,37.488
ham4,instrectL4_26_3,8.119
ham4,instrectL4_26_5,25.440
ham4,instrectL4_2_8,57.992
ham4,instrectL4_28_7,122.071
ham4,instrectL4_28_9,8.224
ham4,instrectL4_30_0,7.940
ham4,instrectL4_30_2,75.176
ham4,instrectL4_31_0,1.000
ham4,instrectL4_31_16,5.276
ham4,instrectL4_31_7,33.111
ham4,instrectL4_31_8,9.658
ham4,instrectL4_32_3,162.103
ham4,instrectL4_32_4,5.365
ham4,instrectL4_32_7,3.401
ham4,instrectL4_34_0,199.996
ham4,instrectL4_34_3,16.805
ham4,instrectL4_34_4,7.624
